Site_Index	Partition_Index	Rate_Category
1	1	2
2	1	3
3	1	3
4	1	3
5	1	1
6	1	2
7	1	1
8	1	1
9	1	1
10	1	3
11	1	1
12	1	2
13	1	2
14	1	2
15	1	2
16	1	1
17	1	2
18	1	2
19	1	3
20	1	2
21	1	3
22	1	2
23	1	3
24	1	3
25	1	2
26	1	2
27	1	3
28	1	2
29	1	1
30	1	3
31	1	3
32	1	1
33	1	3
34	1	1
35	1	1
36	1	2
37	1	2
38	1	2
39	1	1
40	1	1
41	1	2
42	1	3
43	1	3
44	1	2
45	1	3
46	1	1
47	1	3
48	1	3
49	1	1
50	1	2
51	1	3
52	1	3
53	1	1
54	1	3
55	1	3
56	1	1
57	1	2
58	1	1
59	1	1
60	1	2
61	1	3
62	1	1
63	1	2
64	1	2
65	1	3
66	1	3
67	1	1
68	1	1
69	1	1
70	1	3
71	1	2
72	1	1
73	1	2
74	1	3
75	1	1
76	1	1
77	1	1
78	1	1
79	1	2
80	1	3
81	1	3
82	1	2
83	1	1
84	1	1
85	1	3
86	1	2
87	1	2
88	1	2
89	1	1
90	1	3
